SURABAYA,,JOMBANG,,KEDIRI,,BLITAR,,PACITAN,,GRESIK,,TULUNGAGUNG,,SIDOARJO,,LAMONGAN,,PONOROGO,,MALANG,,NGANJUK,,TRENGGALEK,,MOJOKERTO
LOKASI,,LOKASI,,LOKASI,,LOKASI,,LOKASI,,LOKASI,,LOKASI,,LOKASI,,LOKASI,,LOKASI,,LOKASI,,LOKASI,,LOKASI,,LOKASI
60111,,61411,,64111,,66113,,63511,,61111,,66211,,"(( Tambakcemandi )), Indonesia",,62211,,63411,,"Ampel, East Java ",,Babadan,,66311,,61311
60112,,61412,,64112,,66114,,63512,,61112,,66212,,"Badas, Jawa Timur, Indonesia",,62212,,63412,,"Ampelantuk, East Java",,"Babadan, Patianrowo",,66312,,61312
60113,,61413,,64113,,66115,,63513,,61113,,66213,,"Balanggabus, East Java",,62213,,63413,,"Ampelgading, Jawa Timur, Indonesia",,"Bagor, East Java",,66313,,61313
60114,,61415,,64114,,66116,,63514,,61114,,66214,,"Balepanjang, East Java",,62214,,63414,,"Ardimulyo, Jawa Timur, Indonesia",,Baleturi,,66314,,61314
60115,,61416,,64115,,66117,,63515,,61115,,66215,,"Balongbendo, Jawa Timur, Indonesia",,62215,,63415,,"Ardirejo, Jawa Timur, Indonesia",,Balongpacung,,66315,,61315
60116,,61417,,64116,,66121,,63516,,61116,,66216,,"Balongdowo, Jawa Timur, Indonesia",,62216,,63416,,"Ardowinangun, East Java",,Balongrejo,,66316,,61316
60117,,61418,,64117,,66122,,63518,,61117,,66217,,"Bangeran, East Java",,62217,,63417,,"Argosuko, East Java",,Banaran,,66317,,61317
60118,,61419,,64118,,66124,,63552,,61118,,66218,,"Bangsri, East Java",,62218,,63418,,"Arjosari, Jawa Timur, Indonesia",,Banaran ,,66318,,61318
60119,,61451,,64119,,66125,,63553,,61119,,66219,,"Banjarkemantren, East Java",,62252,,63419,,Arjowinangun,,Banaran Kulon,,66319,,61319
60121,,61452,,64121,,66126,,63554,,61121,,66252,,"Banjarkemuning, East Java",,62253,,63451,,"Badut, East Java",,Banaran Wetan,,66351,,61321
